comment,clean_text,mudah digunakan (P1),memenuhi kebutuhan (P3),label_umux,actual_umux_dimension,predicted_umux_label,predicted_umux_dimension,is_prediction_correct,suggested_label,suggested_dimension,audit_reason,audit_note,word_count,matched_general_praise,matched_usefulness,matched_ease,matched_negative_usability,sentiment_category,vader_compound,umux_lite_score_1_7,rating,user,date,likes,label UMUX,label,vader_neg,vader_neu,vader_pos,umux_score_category,is_umux_relevant,review_text_lower,audit_text,has_general_praise,has_usefulness_keyword,has_ease_keyword,has_negative_usability_pattern,is_suggestion_different
kok susah sekali ya ambil hak JHT yang sudah tidak aktif.. terkesan dipersulit,kok susah sekali ambil hak jht tidak aktif kes sulit,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,3,Usefulness + Ease of Use,label_0_contains_both_dimensions,"Label aktual tidak relevan, tetapi komentar mengandung indikasi usefulness dan ease of use.",13,ok,jht,"sulit, susah",,negative,-0.7351,1.79,5.0,Ridho Alfarisyi,2026-04-25 02:15:54,0.0,Tidak relevan dengan pertanyaan manapun,0,0.505,0.26,0.234,low,False,kok susah sekali ya ambil hak jht yang sudah tidak aktif.. terkesan dipersulit,kok susah sekali ya ambil hak jht yang sudah tidak aktif.. terkesan dipersulit kok susah sekali ambil hak jht tidak aktif kes sulit,True,True,True,False,True
terbaik,baik,0,1,1,Usefulness,0,Tidak relevan dengan UMUX-Lite,False,0,Tidak relevan dengan UMUX-Lite,label_1_general_praise_only,"Label aktual Usefulness, tetapi komentar tampak hanya pujian umum. Cek apakah lebih tepat menjadi tidak relevan UMUX-Lite.",1,"baik, terbaik",,,,positive,0.4588,5.38,5.0,Bagus Cahyadi,2026-04-25 01:49:17,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.0,1.0,high,False,terbaik,terbaik baik,True,False,False,False,True
Aplikasi cacat. Developer tolong buat biometrik fotonya dibenerin lagi. Bukannya mempermudah malah mempersulit pengguna. Masa 100% harus sesuai foto KTP. Biometrik rasis body shaming.,aplikasi cacat developer buat biometrik foto dibenerin bukan mudah malah sulit guna masa sesuai foto ktp biometrik ras body shaming,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,False,3,Usefulness + Ease of Use,label_0_contains_both_dimensions,"Label aktual tidak relevan, tetapi komentar mengandung indikasi usefulness dan ease of use.",24,,"guna, sesuai","buka, mudah, sulit",,positive,0.6597,5.98,1.0,Putri Leo,2026-04-25 01:17:34,0.0,Tidak relevan dengan pertanyaan manapun,0,0.183,0.49,0.327,high,True,aplikasi cacat. developer tolong buat biometrik fotonya dibenerin lagi. bukannya mempermudah malah mempersulit pengguna. masa 100% harus sesuai foto ktp. biometrik rasis body shaming.,aplikasi cacat. developer tolong buat biometrik fotonya dibenerin lagi. bukannya mempermudah malah mempersulit pengguna. masa 100% harus sesuai foto ktp. biometrik rasis body shaming. aplikasi cacat developer buat biometrik foto dibenerin bukan mudah malah sulit guna masa sesuai foto ktp biometrik ras body shaming,False,True,True,False,True
tolong bantu sialan udah update malah ga bisa dibuka aplikasi berhenti terus ... jng jawab maaf aja yaa atau datang ke kantor harus perbaiki .. tau gini ga akan update,bantu sial udah update malah tidak bisa buka aplikasi henti terus jng jawab maaf aja yaa datang kantor baik tau gin tidak update,1,0,2,Ease of Use,2,Ease of Use,True,3,Usefulness + Ease of Use,single_dimension_label_contains_both,"Label aktual hanya satu dimensi, tetapi komentar mengandung indikasi usefulness dan ease of use.",30,baik,"bantu, data","buka, ga bisa, tidak bisa",tidak bisa buka,positive,0.5267,5.58,1.0,yats peci,2026-04-24 19:26:11,0.0,Relevan dengan P1 (mudah digunakan),1,0.202,0.46,0.337,high,True,tolong bantu sialan udah update malah ga bisa dibuka aplikasi berhenti terus ... jng jawab maaf aja yaa atau datang ke kantor harus perbaiki .. tau gini ga akan update,tolong bantu sialan udah update malah ga bisa dibuka aplikasi berhenti terus ... jng jawab maaf aja yaa atau datang ke kantor harus perbaiki .. tau gini ga akan update bantu sial udah update malah tidak bisa buka aplikasi henti terus jng jawab maaf aja yaa datang kantor baik tau gin tidak update,True,True,True,True,True
sy ko ga biasa cek saldo jht...,sy ko tidak biasa cek saldo jht,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,1,Usefulness,label_0_contains_usefulness_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi usefulness atau manfaat aplikasi.",7,,"jht, saldo",,,positive,0.1531,4.46,5.0,Joem Jumhana,2026-04-24 15:02:42,0.0,Tidak relevan dengan pertanyaan manapun,0,0.22,0.3,0.48,moderate,False,sy ko ga biasa cek saldo jht...,sy ko ga biasa cek saldo jht... sy ko tidak biasa cek saldo jht,False,True,False,False,True
apk tidak bisa dibuka,aplikasi tidak bisa buka,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,False,2,Ease of Use,label_0_contains_ease_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi ease of use atau masalah penggunaan aplikasi.",4,,,"buka, tidak bisa","aplikasi tidak bisa, tidak bisa buka, tidak bisa dibuka",negative,-0.2023,3.39,3.0,Hary Yanto,2026-04-24 14:39:27,0.0,Tidak relevan dengan pertanyaan manapun,0,0.393,0.357,0.25,moderate,True,apk tidak bisa dibuka,apk tidak bisa dibuka aplikasi tidak bisa buka,False,False,True,True,True
"padahal alamat email sudah benar,Uda coba berkali - kali.tetap g bisa login..apa karna hpnya atau aplikasinya,,",padahal alamat email benar uda coba kali kali tetap g bisa login apa karna hpnya aplikasi,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,2,Ease of Use,label_0_contains_ease_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi ease of use atau masalah penggunaan aplikasi.",16,,,login,,positive,0.1027,4.31,1.0,Rani Wijayanti,2026-04-24 14:15:55,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.915,0.085,moderate,False,"padahal alamat email sudah benar,uda coba berkali - kali.tetap g bisa login..apa karna hpnya atau aplikasinya,,","padahal alamat email sudah benar,uda coba berkali - kali.tetap g bisa login..apa karna hpnya atau aplikasinya,, padahal alamat email benar uda coba kali kali tetap g bisa login apa karna hpnya aplikasi",False,False,True,False,True
👌🏼,,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,0,Tidak relevan dengan UMUX-Lite,too_short_no_clear_keyword,Komentar sangat pendek dan tidak mengandung keyword UMUX-Lite yang jelas.,1,,,,,neutral,0.0,4.0,4.0,Fzthfx,2026-04-24 13:42:25,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.0,0.0,moderate,False,👌🏼,👌🏼 ,False,False,False,False,False
mohon maap tolong di perbaiki kenapa saat mau pengajuan penarikan GK bisa,mohon maap baik mau aju tari tidak bisa,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,2,Ease of Use,label_0_contains_ease_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi ease of use atau masalah penggunaan aplikasi.",12,baik,,tidak bisa,,positive,0.2023,4.61,2.0,LIONER ZIGAZ,2026-04-24 12:57:05,0.0,Tidak relevan dengan pertanyaan manapun,0,0.196,0.536,0.268,moderate,False,mohon maap tolong di perbaiki kenapa saat mau pengajuan penarikan gk bisa,mohon maap tolong di perbaiki kenapa saat mau pengajuan penarikan gk bisa mohon maap baik mau aju tari tidak bisa,True,False,True,False,True
bagus,bagus,0,1,1,Usefulness,0,Tidak relevan dengan UMUX-Lite,False,0,Tidak relevan dengan UMUX-Lite,label_1_general_praise_only,"Label aktual Usefulness, tetapi komentar tampak hanya pujian umum. Cek apakah lebih tepat menjadi tidak relevan UMUX-Lite.",1,bagus,,,,positive,0.5267,5.58,5.0,RAPLIS 26,2026-04-24 11:56:31,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.0,1.0,high,False,bagus,bagus bagus,True,False,False,False,True
apaan. g bs dbuka,apa g bs dbuka,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,2,Ease of Use,label_0_contains_ease_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi ease of use atau masalah penggunaan aplikasi.",4,,,buka,,neutral,0.0,4.0,1.0,Erwan Syaputra,2026-04-24 11:41:00,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,1.0,0.0,moderate,False,apaan. g bs dbuka,apaan. g bs dbuka apa g bs dbuka,False,False,True,False,True
donload ber kali kali..tidak bisa dibuka...,donload ber kali kali tidak bisa buka,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,2,Ease of Use,label_0_contains_ease_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi ease of use atau masalah penggunaan aplikasi.",6,,,"buka, tidak bisa","tidak bisa buka, tidak bisa dibuka",negative,-0.2023,3.39,2.0,Aidah Fitriani,2026-04-24 11:17:17,0.0,Tidak relevan dengan pertanyaan manapun,0,0.256,0.581,0.163,moderate,False,donload ber kali kali..tidak bisa dibuka...,donload ber kali kali..tidak bisa dibuka... donload ber kali kali tidak bisa buka,False,False,True,True,True
saya tidak bisa buka aplikasi ini.,tidak bisa buka aplikasi,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,False,2,Ease of Use,label_0_contains_ease_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi ease of use atau masalah penggunaan aplikasi.",6,,,"buka, tidak bisa",tidak bisa buka,negative,-0.2023,3.39,5.0,Mahyudin Yudin,2026-04-24 10:51:54,0.0,Tidak relevan dengan pertanyaan manapun,0,0.393,0.357,0.25,moderate,True,saya tidak bisa buka aplikasi ini.,saya tidak bisa buka aplikasi ini. tidak bisa buka aplikasi,False,False,True,True,True
"tidak bisa dibuka, error, dicek di play store ngga ada update an",tidak bisa buka error cek play store tidak update an,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,2,Ease of Use,label_0_contains_ease_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi ease of use atau masalah penggunaan aplikasi.",12,,,"buka, error, tidak bisa","tidak bisa buka, tidak bisa dibuka",negative,-0.5423,2.37,2.0,Muhamad Juanda,2026-04-24 10:26:13,0.0,Tidak relevan dengan pertanyaan manapun,0,0.459,0.164,0.377,low,False,"tidak bisa dibuka, error, dicek di play store ngga ada update an","tidak bisa dibuka, error, dicek di play store ngga ada update an tidak bisa buka error cek play store tidak update an",False,False,True,True,True
saya kasik bintang 3 dulu Karne aplikasinya TDK bisa dibuka tolong perbaiki kan nya,kasik bintang dulu karne aplikasi tidak bisa buka baik kan nya,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,2,Ease of Use,label_0_contains_ease_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi ease of use atau masalah penggunaan aplikasi.",14,baik,,"buka, tidak bisa","aplikasi tidak bisa, tidak bisa buka",positive,0.296,4.89,3.0,Daafa Alfarisky,2026-04-24 10:20:56,0.0,Tidak relevan dengan pertanyaan manapun,0,0.151,0.548,0.301,moderate,False,saya kasik bintang 3 dulu karne aplikasinya tdk bisa dibuka tolong perbaiki kan nya,saya kasik bintang 3 dulu karne aplikasinya tdk bisa dibuka tolong perbaiki kan nya kasik bintang dulu karne aplikasi tidak bisa buka baik kan nya,True,False,True,True,True
proses pencairan cepat,proses cair cepat,1,1,3,Usefulness + Ease of Use,3,Usefulness + Ease of Use,True,1,Usefulness,label_3_only_usefulness_detected,"Label aktual gabungan, tetapi keyword yang terdeteksi lebih dominan usefulness saja.",3,,"cair, pencairan",,,positive,0.8271,6.48,5.0,adjipatihdotkom,2026-04-24 08:46:19,0.0,Relevan dengan P1 dan P3,3,0.0,0.0,1.0,high,True,proses pencairan cepat,proses pencairan cepat proses cair cepat,False,True,False,False,True
klaim mudah,klaim mudah,1,0,2,Ease of Use,2,Ease of Use,True,3,Usefulness + Ease of Use,single_dimension_label_contains_both,"Label aktual hanya satu dimensi, tetapi komentar mengandung indikasi usefulness dan ease of use.",2,,klaim,mudah,,positive,0.7003,6.1,5.0,rifat alfatih,2026-04-24 08:22:44,0.0,Relevan dengan P1 (mudah digunakan),1,0.0,0.0,1.0,high,True,klaim mudah,klaim mudah klaim mudah,False,True,True,False,True
mudah ..praktis ..!!,mudah praktis,1,1,3,Usefulness + Ease of Use,2,Ease of Use,False,2,Ease of Use,label_3_only_ease_detected,"Label aktual gabungan, tetapi keyword yang terdeteksi lebih dominan ease of use saja.",3,,,"mudah, praktis",,positive,0.8074,6.42,5.0,Japra Ragil,2026-04-24 08:03:00,0.0,Relevan dengan P1 dan P3,3,0.0,0.0,1.0,high,True,mudah ..praktis ..!!,mudah ..praktis ..!! mudah praktis,False,False,True,False,True
mantap aplikasinya,mantap aplikasi,1,1,3,Usefulness + Ease of Use,0,Tidak relevan dengan UMUX-Lite,False,0,Tidak relevan dengan UMUX-Lite,label_3_no_clear_dimension_keyword,"Label aktual gabungan, tetapi tidak terdeteksi keyword usefulness atau ease of use yang jelas.",2,mantap,,,,positive,0.5859,5.76,5.0,Berlin Sianturi,2026-04-24 07:02:11,0.0,Relevan dengan P1 dan P3,3,0.0,0.208,0.792,high,False,mantap aplikasinya,mantap aplikasinya mantap aplikasi,True,False,False,False,True
"Aplikasi sampah ga ada yg bener buatan pemerintah, kalo ada mainten atau gangguan harusnya dikasih tahu! Tiap bln bayar malah udah lebih 2 bln kedepan skrg pas dicek jadi bukan jd peserta, gmn ceritanya",aplikasi sampah tidak yg bener buat perintah kalo mainten ganggu kasih tahu tiap bln bayar malah udah lebih bln depan skrg pas cek jadi bukan jd gmn cerita,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,3,Usefulness + Ease of Use,label_0_contains_both_dimensions,"Label aktual tidak relevan, tetapi komentar mengandung indikasi usefulness dan ease of use.",34,,peserta,buka,,negative,-0.8834,1.35,1.0,Abik abdul,2026-04-24 06:25:11,0.0,Tidak relevan dengan pertanyaan manapun,0,0.326,0.63,0.044,low,False,"aplikasi sampah ga ada yg bener buatan pemerintah, kalo ada mainten atau gangguan harusnya dikasih tahu! tiap bln bayar malah udah lebih 2 bln kedepan skrg pas dicek jadi bukan jd peserta, gmn ceritanya","aplikasi sampah ga ada yg bener buatan pemerintah, kalo ada mainten atau gangguan harusnya dikasih tahu! tiap bln bayar malah udah lebih 2 bln kedepan skrg pas dicek jadi bukan jd peserta, gmn ceritanya aplikasi sampah tidak yg bener buat perintah kalo mainten ganggu kasih tahu tiap bln bayar malah udah lebih bln depan skrg pas cek jadi bukan jd gmn cerita",False,True,True,False,True
respon dengan baik dan pelayanan baik dan ramah,respon baik layan baik ramah,1,1,3,Usefulness + Ease of Use,3,Usefulness + Ease of Use,True,1,Usefulness,label_3_only_usefulness_detected,"Label aktual gabungan, tetapi keyword yang terdeteksi lebih dominan usefulness saja.",8,baik,"layan, layanan",,,positive,0.802,6.41,5.0,Na Mira,2026-04-24 05:54:41,0.0,Relevan dengan P1 dan P3,3,0.0,0.196,0.804,high,True,respon dengan baik dan pelayanan baik dan ramah,respon dengan baik dan pelayanan baik dan ramah respon baik layan baik ramah,True,True,False,False,True
pelayanan nya jelek tdk membantu sama dengan mentrinya bikin susah rakyat,layan nya jelek tidak bantu sama tri bikin susah rakyat,1,0,2,Ease of Use,2,Ease of Use,True,3,Usefulness + Ease of Use,single_dimension_label_contains_both,"Label aktual hanya satu dimensi, tetapi komentar mengandung indikasi usefulness dan ease of use.",11,,"bantu, layan, layanan, membantu",susah,,negative,-0.743,1.77,1.0,Erick Depparaba,2026-04-24 04:00:48,0.0,Relevan dengan P1 (mudah digunakan),1,0.508,0.308,0.185,low,True,pelayanan nya jelek tdk membantu sama dengan mentrinya bikin susah rakyat,pelayanan nya jelek tdk membantu sama dengan mentrinya bikin susah rakyat layan nya jelek tidak bantu sama tri bikin susah rakyat,False,True,True,False,True
"sangat bagus sih,, apk tapi, sayangnya kita gak bisa narik saldonya dari apk jmo nya,",sangat bagus sih aplikasi sayang tidak bisa narik saldo aplikasi jmo nya,0,1,1,Usefulness,1,Usefulness,True,3,Usefulness + Ease of Use,single_dimension_label_contains_both,"Label aktual hanya satu dimensi, tetapi komentar mengandung indikasi usefulness dan ease of use.",15,bagus,saldo,"gak bisa, tidak bisa",,positive,0.4215,5.26,5.0,Sudirman Sudir,2026-04-24 03:49:32,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.136,0.556,0.309,high,True,"sangat bagus sih,, apk tapi, sayangnya kita gak bisa narik saldonya dari apk jmo nya,","sangat bagus sih,, apk tapi, sayangnya kita gak bisa narik saldonya dari apk jmo nya, sangat bagus sih aplikasi sayang tidak bisa narik saldo aplikasi jmo nya",True,True,True,False,True
pelayanannya buruk susah dan sangat ribet serta memakan waktu yang lama kalau kita klaim malah diputer2 apalagi saldo udah di atas 10jt pasti sulit dan lama pelayanannya,layan buruk susah sangat ribet makan waktu lama kalau klaim malah puter saldo udah atas jt sulit lama layan,1,0,2,Ease of Use,3,Usefulness + Ease of Use,False,3,Usefulness + Ease of Use,single_dimension_label_contains_both,"Label aktual hanya satu dimensi, tetapi komentar mengandung indikasi usefulness dan ease of use.",27,,"klaim, layan, layanan, saldo","ribet, sulit, susah",,negative,-0.9628,1.11,1.0,TVI zero,2026-04-24 03:03:57,0.0,Relevan dengan P1 (mudah digunakan),1,0.59,0.265,0.146,low,True,pelayanannya buruk susah dan sangat ribet serta memakan waktu yang lama kalau kita klaim malah diputer2 apalagi saldo udah di atas 10jt pasti sulit dan lama pelayanannya,pelayanannya buruk susah dan sangat ribet serta memakan waktu yang lama kalau kita klaim malah diputer2 apalagi saldo udah di atas 10jt pasti sulit dan lama pelayanannya layan buruk susah sangat ribet makan waktu lama kalau klaim malah puter saldo udah atas jt sulit lama layan,False,True,True,False,True
"bagus, cepat, gampang akses",bagus cepat gampang akses,1,1,3,Usefulness + Ease of Use,3,Usefulness + Ease of Use,True,2,Ease of Use,label_3_only_ease_detected,"Label aktual gabungan, tetapi keyword yang terdeteksi lebih dominan ease of use saja.",4,bagus,,"akses, gampang",,positive,0.9062,6.72,5.0,Jadi Setya,2026-04-24 02:09:33,0.0,Relevan dengan P1 dan P3,3,0.0,0.0,1.0,high,True,"bagus, cepat, gampang akses","bagus, cepat, gampang akses bagus cepat gampang akses",True,False,True,False,True
bagus sekali,bagus sekali,0,1,1,Usefulness,0,Tidak relevan dengan UMUX-Lite,False,0,Tidak relevan dengan UMUX-Lite,label_1_general_praise_only,"Label aktual Usefulness, tetapi komentar tampak hanya pujian umum. Cek apakah lebih tepat menjadi tidak relevan UMUX-Lite.",2,bagus,,,,positive,0.5267,5.58,5.0,Al Furqan,2026-04-24 01:35:54,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.227,0.773,high,False,bagus sekali,bagus sekali bagus sekali,True,False,False,False,True
