audit_id,priority_rank,priority_name,priority_note,manual_check_status,manual_final_label,manual_final_dimension,manual_decision,manual_note,comment,clean_text,mudah digunakan (P1),memenuhi kebutuhan (P3),label_umux,actual_umux_dimension,suggested_label,suggested_dimension,label_change_direction,predicted_umux_label,predicted_umux_dimension,is_prediction_correct,audit_reason,audit_note,word_count,matched_general_praise,matched_usefulness,matched_ease,matched_negative_usability,sentiment_category,vader_compound,umux_lite_score_1_7,rating,user,date,likes,label UMUX,label,vader_neg,vader_neu,vader_pos,umux_score_category,is_umux_relevant,review_text_lower,audit_text,has_general_praise,has_usefulness_keyword,has_ease_keyword,has_negative_usability_pattern,is_suggestion_different
17,3,P3 - Label 0 contains ease keyword,Label tidak relevan perlu dicek karena komentar mengandung indikasi ease of use atau masalah penggunaan.,,,,,,"padahal alamat email sudah benar,Uda coba berkali - kali.tetap g bisa login..apa karna hpnya atau aplikasinya,,",padahal alamat email benar uda coba kali kali tetap g bisa login apa karna hpnya aplikasi,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,0 -> 2,0,Tidak relevan dengan UMUX-Lite,True,label_0_contains_ease_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi ease of use atau masalah penggunaan aplikasi.",16,,,login,,positive,0.1027,4.31,1,Rani Wijayanti,2026-04-24 14:15:55,0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.915,0.085,moderate,False,"padahal alamat email sudah benar,uda coba berkali - kali.tetap g bisa login..apa karna hpnya atau aplikasinya,,","padahal alamat email sudah benar,uda coba berkali - kali.tetap g bisa login..apa karna hpnya atau aplikasinya,, padahal alamat email benar uda coba kali kali tetap g bisa login apa karna hpnya aplikasi",False,False,True,False,True
19,3,P3 - Label 0 contains ease keyword,Label tidak relevan perlu dicek karena komentar mengandung indikasi ease of use atau masalah penggunaan.,,,,,,mohon maap tolong di perbaiki kenapa saat mau pengajuan penarikan GK bisa,mohon maap baik mau aju tari tidak bisa,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,0 -> 2,0,Tidak relevan dengan UMUX-Lite,True,label_0_contains_ease_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi ease of use atau masalah penggunaan aplikasi.",12,baik,,tidak bisa,,positive,0.2023,4.61,2,LIONER ZIGAZ,2026-04-24 12:57:05,0,Tidak relevan dengan pertanyaan manapun,0,0.196,0.536,0.268,moderate,False,mohon maap tolong di perbaiki kenapa saat mau pengajuan penarikan gk bisa,mohon maap tolong di perbaiki kenapa saat mau pengajuan penarikan gk bisa mohon maap baik mau aju tari tidak bisa,True,False,True,False,True
20,1,P1 - Different suggestion and wrong prediction,Prioritas tertinggi: saran label berbeda dari label aktual dan prediksi model juga salah.,,,,,,bagus,bagus,0,1,1,Usefulness,0,Tidak relevan dengan UMUX-Lite,1 -> 0,0,Tidak relevan dengan UMUX-Lite,False,label_1_general_praise_only,"Label aktual Usefulness, tetapi komentar tampak hanya pujian umum. Cek apakah lebih tepat menjadi tidak relevan UMUX-Lite.",1,bagus,,,,positive,0.5267,5.58,5,RAPLIS 26,2026-04-24 11:56:31,0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.0,1.0,high,False,bagus,bagus bagus,True,False,False,False,True
21,3,P3 - Label 0 contains ease keyword,Label tidak relevan perlu dicek karena komentar mengandung indikasi ease of use atau masalah penggunaan.,,,,,,apaan. g bs dbuka,apa g bs dbuka,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,0 -> 2,0,Tidak relevan dengan UMUX-Lite,True,label_0_contains_ease_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi ease of use atau masalah penggunaan aplikasi.",4,,,buka,,neutral,0.0,4.0,1,Erwan Syaputra,2026-04-24 11:41:00,0,Tidak relevan dengan pertanyaan manapun,0,0.0,1.0,0.0,moderate,False,apaan. g bs dbuka,apaan. g bs dbuka apa g bs dbuka,False,False,True,False,True
22,3,P3 - Label 0 contains ease keyword,Label tidak relevan perlu dicek karena komentar mengandung indikasi ease of use atau masalah penggunaan.,,,,,,donload ber kali kali..tidak bisa dibuka...,donload ber kali kali tidak bisa buka,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,0 -> 2,0,Tidak relevan dengan UMUX-Lite,True,label_0_contains_ease_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi ease of use atau masalah penggunaan aplikasi.",6,,,"buka, tidak bisa","tidak bisa buka, tidak bisa dibuka",negative,-0.2023,3.39,2,Aidah Fitriani,2026-04-24 11:17:17,0,Tidak relevan dengan pertanyaan manapun,0,0.256,0.581,0.163,moderate,False,donload ber kali kali..tidak bisa dibuka...,donload ber kali kali..tidak bisa dibuka... donload ber kali kali tidak bisa buka,False,False,True,True,True
23,1,P1 - Different suggestion and wrong prediction,Prioritas tertinggi: saran label berbeda dari label aktual dan prediksi model juga salah.,,,,,,saya tidak bisa buka aplikasi ini.,tidak bisa buka aplikasi,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,0 -> 2,2,Ease of Use,False,label_0_contains_ease_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi ease of use atau masalah penggunaan aplikasi.",6,,,"buka, tidak bisa",tidak bisa buka,negative,-0.2023,3.39,5,Mahyudin Yudin,2026-04-24 10:51:54,0,Tidak relevan dengan pertanyaan manapun,0,0.393,0.357,0.25,moderate,True,saya tidak bisa buka aplikasi ini.,saya tidak bisa buka aplikasi ini. tidak bisa buka aplikasi,False,False,True,True,True
24,3,P3 - Label 0 contains ease keyword,Label tidak relevan perlu dicek karena komentar mengandung indikasi ease of use atau masalah penggunaan.,,,,,,"tidak bisa dibuka, error, dicek di play store ngga ada update an",tidak bisa buka error cek play store tidak update an,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,0 -> 2,0,Tidak relevan dengan UMUX-Lite,True,label_0_contains_ease_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi ease of use atau masalah penggunaan aplikasi.",12,,,"buka, error, tidak bisa","tidak bisa buka, tidak bisa dibuka",negative,-0.5423,2.37,2,Muhamad Juanda,2026-04-24 10:26:13,0,Tidak relevan dengan pertanyaan manapun,0,0.459,0.164,0.377,low,False,"tidak bisa dibuka, error, dicek di play store ngga ada update an","tidak bisa dibuka, error, dicek di play store ngga ada update an tidak bisa buka error cek play store tidak update an",False,False,True,True,True
25,3,P3 - Label 0 contains ease keyword,Label tidak relevan perlu dicek karena komentar mengandung indikasi ease of use atau masalah penggunaan.,,,,,,saya kasik bintang 3 dulu Karne aplikasinya TDK bisa dibuka tolong perbaiki kan nya,kasik bintang dulu karne aplikasi tidak bisa buka baik kan nya,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,0 -> 2,0,Tidak relevan dengan UMUX-Lite,True,label_0_contains_ease_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi ease of use atau masalah penggunaan aplikasi.",14,baik,,"buka, tidak bisa","aplikasi tidak bisa, tidak bisa buka",positive,0.296,4.89,3,Daafa Alfarisky,2026-04-24 10:20:56,0,Tidak relevan dengan pertanyaan manapun,0,0.151,0.548,0.301,moderate,False,saya kasik bintang 3 dulu karne aplikasinya tdk bisa dibuka tolong perbaiki kan nya,saya kasik bintang 3 dulu karne aplikasinya tdk bisa dibuka tolong perbaiki kan nya kasik bintang dulu karne aplikasi tidak bisa buka baik kan nya,True,False,True,True,True
26,5,P5 - Label 3 dimension check,Label gabungan perlu dicek apakah benar mengandung usefulness dan ease of use sekaligus.,,,,,,proses pencairan cepat,proses cair cepat,1,1,3,Usefulness + Ease of Use,1,Usefulness,3 -> 1,3,Usefulness + Ease of Use,True,label_3_only_usefulness_detected,"Label aktual gabungan, tetapi keyword yang terdeteksi lebih dominan usefulness saja.",3,,"cair, pencairan",,,positive,0.8271,6.48,5,adjipatihdotkom,2026-04-24 08:46:19,0,Relevan dengan P1 dan P3,3,0.0,0.0,1.0,high,True,proses pencairan cepat,proses pencairan cepat proses cair cepat,False,True,False,False,True
28,1,P1 - Different suggestion and wrong prediction,Prioritas tertinggi: saran label berbeda dari label aktual dan prediksi model juga salah.,,,,,,mudah ..praktis ..!!,mudah praktis,1,1,3,Usefulness + Ease of Use,2,Ease of Use,3 -> 2,2,Ease of Use,False,label_3_only_ease_detected,"Label aktual gabungan, tetapi keyword yang terdeteksi lebih dominan ease of use saja.",3,,,"mudah, praktis",,positive,0.8074,6.42,5,Japra Ragil,2026-04-24 08:03:00,0,Relevan dengan P1 dan P3,3,0.0,0.0,1.0,high,True,mudah ..praktis ..!!,mudah ..praktis ..!! mudah praktis,False,False,True,False,True
29,1,P1 - Different suggestion and wrong prediction,Prioritas tertinggi: saran label berbeda dari label aktual dan prediksi model juga salah.,,,,,,mantap aplikasinya,mantap aplikasi,1,1,3,Usefulness + Ease of Use,0,Tidak relevan dengan UMUX-Lite,3 -> 0,0,Tidak relevan dengan UMUX-Lite,False,label_3_no_clear_dimension_keyword,"Label aktual gabungan, tetapi tidak terdeteksi keyword usefulness atau ease of use yang jelas.",2,mantap,,,,positive,0.5859,5.76,5,Berlin Sianturi,2026-04-24 07:02:11,0,Relevan dengan P1 dan P3,3,0.0,0.208,0.792,high,False,mantap aplikasinya,mantap aplikasinya mantap aplikasi,True,False,False,False,True
30,3,P3 - Label 0 contains ease keyword,Label tidak relevan perlu dicek karena komentar mengandung indikasi ease of use atau masalah penggunaan.,,,,,,"Aplikasi sampah ga ada yg bener buatan pemerintah, kalo ada mainten atau gangguan harusnya dikasih tahu! Tiap bln bayar malah udah lebih 2 bln kedepan skrg pas dicek jadi bukan jd peserta, gmn ceritanya",aplikasi sampah tidak yg bener buat perintah kalo mainten ganggu kasih tahu tiap bln bayar malah udah lebih bln depan skrg pas cek jadi bukan jd gmn cerita,0,0,0,Tidak relevan dengan UMUX-Lite,3,Usefulness + Ease of Use,0 -> 3,0,Tidak relevan dengan UMUX-Lite,True,label_0_contains_both_dimensions,"Label aktual tidak relevan, tetapi komentar mengandung indikasi usefulness dan ease of use.",34,,peserta,buka,,negative,-0.8834,1.35,1,Abik abdul,2026-04-24 06:25:11,0,Tidak relevan dengan pertanyaan manapun,0,0.326,0.63,0.044,low,False,"aplikasi sampah ga ada yg bener buatan pemerintah, kalo ada mainten atau gangguan harusnya dikasih tahu! tiap bln bayar malah udah lebih 2 bln kedepan skrg pas dicek jadi bukan jd peserta, gmn ceritanya","aplikasi sampah ga ada yg bener buatan pemerintah, kalo ada mainten atau gangguan harusnya dikasih tahu! tiap bln bayar malah udah lebih 2 bln kedepan skrg pas dicek jadi bukan jd peserta, gmn ceritanya aplikasi sampah tidak yg bener buat perintah kalo mainten ganggu kasih tahu tiap bln bayar malah udah lebih bln depan skrg pas cek jadi bukan jd gmn cerita",False,True,True,False,True
31,5,P5 - Label 3 dimension check,Label gabungan perlu dicek apakah benar mengandung usefulness dan ease of use sekaligus.,,,,,,respon dengan baik dan pelayanan baik dan ramah,respon baik layan baik ramah,1,1,3,Usefulness + Ease of Use,1,Usefulness,3 -> 1,3,Usefulness + Ease of Use,True,label_3_only_usefulness_detected,"Label aktual gabungan, tetapi keyword yang terdeteksi lebih dominan usefulness saja.",8,baik,"layan, layanan",,,positive,0.802,6.41,5,Na Mira,2026-04-24 05:54:41,0,Relevan dengan P1 dan P3,3,0.0,0.196,0.804,high,True,respon dengan baik dan pelayanan baik dan ramah,respon dengan baik dan pelayanan baik dan ramah respon baik layan baik ramah,True,True,False,False,True
34,1,P1 - Different suggestion and wrong prediction,Prioritas tertinggi: saran label berbeda dari label aktual dan prediksi model juga salah.,,,,,,pelayanannya buruk susah dan sangat ribet serta memakan waktu yang lama kalau kita klaim malah diputer2 apalagi saldo udah di atas 10jt pasti sulit dan lama pelayanannya,layan buruk susah sangat ribet makan waktu lama kalau klaim malah puter saldo udah atas jt sulit lama layan,1,0,2,Ease of Use,3,Usefulness + Ease of Use,2 -> 3,3,Usefulness + Ease of Use,False,single_dimension_label_contains_both,"Label aktual hanya satu dimensi, tetapi komentar mengandung indikasi usefulness dan ease of use.",27,,"klaim, layan, layanan, saldo","ribet, sulit, susah",,negative,-0.9628,1.11,1,TVI zero,2026-04-24 03:03:57,0,Relevan dengan P1 (mudah digunakan),1,0.59,0.265,0.146,low,True,pelayanannya buruk susah dan sangat ribet serta memakan waktu yang lama kalau kita klaim malah diputer2 apalagi saldo udah di atas 10jt pasti sulit dan lama pelayanannya,pelayanannya buruk susah dan sangat ribet serta memakan waktu yang lama kalau kita klaim malah diputer2 apalagi saldo udah di atas 10jt pasti sulit dan lama pelayanannya layan buruk susah sangat ribet makan waktu lama kalau klaim malah puter saldo udah atas jt sulit lama layan,False,True,True,False,True
35,5,P5 - Label 3 dimension check,Label gabungan perlu dicek apakah benar mengandung usefulness dan ease of use sekaligus.,,,,,,"bagus, cepat, gampang akses",bagus cepat gampang akses,1,1,3,Usefulness + Ease of Use,2,Ease of Use,3 -> 2,3,Usefulness + Ease of Use,True,label_3_only_ease_detected,"Label aktual gabungan, tetapi keyword yang terdeteksi lebih dominan ease of use saja.",4,bagus,,"akses, gampang",,positive,0.9062,6.72,5,Jadi Setya,2026-04-24 02:09:33,0,Relevan dengan P1 dan P3,3,0.0,0.0,1.0,high,True,"bagus, cepat, gampang akses","bagus, cepat, gampang akses bagus cepat gampang akses",True,False,True,False,True
36,1,P1 - Different suggestion and wrong prediction,Prioritas tertinggi: saran label berbeda dari label aktual dan prediksi model juga salah.,,,,,,bagus sekali,bagus sekali,0,1,1,Usefulness,0,Tidak relevan dengan UMUX-Lite,1 -> 0,0,Tidak relevan dengan UMUX-Lite,False,label_1_general_praise_only,"Label aktual Usefulness, tetapi komentar tampak hanya pujian umum. Cek apakah lebih tepat menjadi tidak relevan UMUX-Lite.",2,bagus,,,,positive,0.5267,5.58,5,Al Furqan,2026-04-24 01:35:54,0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.227,0.773,high,False,bagus sekali,bagus sekali bagus sekali,True,False,False,False,True
38,3,P3 - Label 0 contains ease keyword,Label tidak relevan perlu dicek karena komentar mengandung indikasi ease of use atau masalah penggunaan.,,,,,,"lama bgt mau cairin klaim BPJS tk dari awal bulan. Ampe skrg BPJS saya belom cair tuh make JMO, masa harus nunggu verifikasi 1 bulan.",lama bgt mau cairin klaim bpjs tk awal bulan ampe skrg bpjs bom cair tuh make jmo masa nunggu verifikasi bulan,0,0,0,Tidak relevan dengan UMUX-Lite,3,Usefulness + Ease of Use,0 -> 3,0,Tidak relevan dengan UMUX-Lite,True,label_0_contains_both_dimensions,"Label aktual tidak relevan, tetapi komentar mengandung indikasi usefulness dan ease of use.",25,,"bpjs, cair, klaim",verifikasi,,positive,0.5267,5.58,1,Tri Wulandari,2026-04-24 01:29:52,0,Tidak relevan dengan pertanyaan manapun,0,0.121,0.532,0.348,high,False,"lama bgt mau cairin klaim bpjs tk dari awal bulan. ampe skrg bpjs saya belom cair tuh make jmo, masa harus nunggu verifikasi 1 bulan.","lama bgt mau cairin klaim bpjs tk dari awal bulan. ampe skrg bpjs saya belom cair tuh make jmo, masa harus nunggu verifikasi 1 bulan. lama bgt mau cairin klaim bpjs tk awal bulan ampe skrg bpjs bom cair tuh make jmo masa nunggu verifikasi bulan",False,True,True,False,True
39,3,P3 - Label 0 contains ease keyword,Label tidak relevan perlu dicek karena komentar mengandung indikasi ease of use atau masalah penggunaan.,,,,,,knp aplikasi JMO tidak bisa di buka,knp aplikasi jmo tidak bisa buka,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,0 -> 2,0,Tidak relevan dengan UMUX-Lite,True,label_0_contains_ease_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi ease of use atau masalah penggunaan aplikasi.",7,,,"buka, tidak bisa",tidak bisa buka,negative,-0.2023,3.39,2,Aulia Berutu,2026-04-24 01:29:40,0,Tidak relevan dengan pertanyaan manapun,0,0.289,0.526,0.184,moderate,False,knp aplikasi jmo tidak bisa di buka,knp aplikasi jmo tidak bisa di buka knp aplikasi jmo tidak bisa buka,False,False,True,True,True
40,5,P5 - Label 3 dimension check,Label gabungan perlu dicek apakah benar mengandung usefulness dan ease of use sekaligus.,,,,,,JMO transparan dan efisien dalam penggunaan aplikasi sangatlah multifungsi.,jmo transparan efisien guna aplikasi sangat multifungsi,1,1,3,Usefulness + Ease of Use,1,Usefulness,3 -> 1,3,Usefulness + Ease of Use,True,label_3_only_usefulness_detected,"Label aktual gabungan, tetapi keyword yang terdeteksi lebih dominan usefulness saja.",9,,guna,,,positive,0.765,6.29,5,Nanto Tris,2026-04-24 00:12:47,0,Relevan dengan P1 dan P3,3,0.0,0.431,0.569,high,True,jmo transparan dan efisien dalam penggunaan aplikasi sangatlah multifungsi.,jmo transparan dan efisien dalam penggunaan aplikasi sangatlah multifungsi. jmo transparan efisien guna aplikasi sangat multifungsi,False,True,False,False,True
